Date,Price,Open,High,Low,Vol.,Change %
12/21/2023,"25100.0","25,500.0","25,500.0","24,800.0",103.52K,-1.57%
12/20/2023,"25500.0","25,600.0","25,700.0","25,300.0",61.62K,+0.39%
12/19/2023,"25400.0","25,200.0","25,400.0","25,000.0",90.07K,+0.79%
12/18/2023,"25200.0","25,100.0","25,300.0","25,000.0",60.00K,+0.40%
12/15/2023,"25100.0","25,100.0","25,500.0","25,000.0",156.65K,+0.40%
12/14/2023,"25000.0","25,100.0","25,400.0","25,000.0",98.20K,-0.40%
12/13/2023,"25100.0","25,700.0","25,700.0","25,000.0",145.67K,-1.18%
12/12/2023,"25400.0","25,400.0","25,700.0","25,300.0",209.60K,0.00%
12/11/2023,"25400.0","25,300.0","25,700.0","25,100.0",207.73K,+0.40%
12/08/2023,"25300.0","25,700.0","25,700.0","25,300.0",200.87K,-0.78%
12/07/2023,"25500.0","26,200.0","26,700.0","25,200.0",586.84K,-2.30%
12/06/2023,"26100.0","25,800.0","26,300.0","25,800.0",298.21K,+0.77%
12/05/2023,"25900.0","26,200.0","26,300.0","25,800.0",240.83K,-0.38%
12/04/2023,"26000.0","25,000.0","26,100.0","25,000.0",661.84K,+4.00%
12/01/2023,"25000.0","24,800.0","25,200.0","24,700.0",83.93K,+1.21%
11/30/2023,"24700.0","25,100.0","25,300.0","24,600.0",94.56K,-1.20%
11/29/2023,"25000.0","24,900.0","25,100.0","24,900.0",31.52K,+0.81%
11/28/2023,"24800.0","24,400.0","24,800.0","22,600.0",120.52K,+0.81%
11/27/2023,"24600.0","25,300.0","25,400.0","24,500.0",113.61K,-1.99%
11/24/2023,"25100.0","25,000.0","25,300.0","24,600.0",186.45K,+1.62%
11/23/2023,"24700.0","26,100.0","26,100.0","24,700.0",208.20K,-5.00%
11/22/2023,"26000.0","25,500.0","26,000.0","25,100.0",218.11K,+1.96%
11/21/2023,"25500.0","25,400.0","25,700.0","25,000.0",162.99K,+1.59%
